ID,NAME,KANA,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,PARTY,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1_1,Q3_1_2,Q3_1_3,Q3_1_4,Q3_1_5,Q3_1_6,Q3_1_7,Q3_1_8,Q3_1_9,Q3_1_10,Q3_1_11,Q3_2_1,Q3_2_2,Q3_2_3,Q3_2_4,Q3_2_5,Q3_2_6,Q3_2_7,Q3_2_8,Q3_2_9,Q3_2_10,Q3_2_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8,SQ8_1,SQ8_2,SQ8_3,SQ8_4,SQ8_5,SQ8_6,SQ8_7,SQ8_8,SQ8_9,SQ8_10,SQ8_11,SQ8_12,SQ8_13,SQ8_14,SQ8_15,SQ8_16,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q1_1_FA,Q1_2_FA,Q1_3_FA,SQ8_16_FA
1,小林＝悟,こばやし・さとる,1,1,1,0,51,5,1,0,1,57,1,6,3,1,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,70,50,50,50,60,50,50,50,2,4,2,4,4,2,2,4,3,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,99,99,99,99
2,道下＝大樹,みちした・だいき,1,1,1,0,51,2,3,1,1,45,2,16,5,6,2,4,3,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,1,999,999,999,999,999,999,999,999,4,4,3,3,4,3,5,4,1,5,5,2,2,2,2,3,3,4,5,1,1,1,3,4,3,2,2,4,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,コロナ対策,99,99,99
3,船橋＝利実,ふなはし・としみつ,1,1,1,0,51,1,3,2,1,60,1,6,3,5,2,3,8,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,100,0,80,0,50,50,90,0,4,4,3,3,2,1,2,2,2,1,4,2,2,3,3,3,2,3,2,3,3,3,2,2,3,2,4,3,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,99,99,99,99
4,高橋＝祐介,たかはし・ゆうすけ,1,1,2,0,51,1,1,0,1,41,1,6,5,3,2,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,50,100,50,50,50,85,50,3,3,4,3,2,2,3,2,3,3,4,2,2,3,2,3,3,3,3,3,3,2,2,2,4,2,3,3,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,99,99,99,99
5,松木＝謙公,まつき・けんこう,1,1,2,0,51,2,3,5,1,62,2,16,9,5,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,49,100,49,51,49,51,49,100,5,5,3,1,3,4,4,3,2,5,5,1,1,1,1,1,2,4,4,1,1,1,3,3,4,2,3,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,SDGsに対応した政策,99,99,99
6,山崎＝泉,やまざき・いずみ,1,1,2,0,51,5,1,0,1,48,1,16,6,3,2,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,10,50,0,100,50,80,10,5,3,1,3,3,1,2,2,3,2,3,4,2,1,3,5,2,3,1,2,2,1,2,2,3,4,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,コロナ対応,99,99,地方分権改革
7,高木＝宏寿,たかぎ・ひろひさ,1,1,3,0,51,1,2,2,1,61,2,1,6,5,2,3,8,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,90,20,80,10,70,30,70,10,3,3,2,3,4,2,2,2,3,2,3,3,2,4,3,3,2,3,2,4,4,4,2,2,3,3,4,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,99,99,99,99
8,荒井＝優,あらい・ゆたか,1,1,3,0,51,2,1,0,1,46,3,5,3,7,2,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,70,60,60,60,70,55,70,2,2,2,4,4,3,4,3,1,3,4,3,2,3,4,2,2,4,3,1,1,1,2,2,3,4,2,4,2,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,99,99,99,99
9,小和田＝康文,こわだ・やすふみ,1,1,3,0,51,5,1,0,1,51,1,5,6,10,2,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,50,50,100,50,50,50,5,5,3,4,4,1,3,4,3,3,4,4,3,1,1,2,3,4,4,3,3,2,1,2,4,3,3,4,3,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,99,99,99,99
10,大築＝紅葉,おおつき・くれは,1,1,4,0,51,2,1,0,2,38,3,11,5,9,3,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,100,50,55,50,100,30,100,4,4,4,4,2,3,5,2,1,5,5,1,3,3,2,2,1,3,4,1,1,1,3,3,4,2,2,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,99,99,99,99
